SPECIES,COMMONNAME
Sonorella walkeri aguacalientensis,Huachuca Talussnail
Sonorella waltoni,Doubtful Canyon Talussnail
Sonorella xanthenes,Kitt Peak Talussnail
Sophora,necklacepod
Sophora arizonica,Arizona Necklace
Sophora arizonica ssp. formosa,Arizona Necklace
Sophora arizonica var. formosa,Arizona Necklace
Sophora formosa,Arizona Necklace
Sophora stenophylla,Narrowleaf Mescal Bean
Sorex,
Sorex arizonae,Arizona Shrew
Sorex merriami,Merriam's Shrew
Sorex merriami leucogenys,Merriam's Shrew
Sorex monticolus,Dusky Shrew
Sorex nanus,Dwarf Shrew
Sorex navigator,Western Water Shrew
Sorex palustris,Western Water Shrew
Sorghum,
Sorghum halepense,Johnson Grass
Soricidae,
Spaniacris,
Spaniacris deserticola,Spanistic Desert Grasshopper
Spatula,
Spatula clypeata,Northern Shoveler
Spatula cyanoptera,Cinnamon Teal
Spatula discors,Blue-winged Teal
Spatula querquedula,Garganey
Spea,
Spea bombifrons,Plains Spadefoot
Spea intermontana,Great Basin Spadefoot
Spea multiplicata,Mexican Spadefoot
Spermophilus lateralis,Golden-mantled Ground Squirrel
Spermophilus spilosoma,Spotted Ground Squirrel
Spermophilus tereticaudus,Round-tailed Ground Squirrel
Spermophilus tridecemlineatus,Thirteen-lined Ground Squirrel
Spermophilus tridecemlineatus monticola,White Mountains Ground Squirrel
Spermophilus variegatus,Rock Squirrel
Speyeria,
Speyeria aphrodite,Aphrodite Fritillary
Speyeria coronis,Coronis Fritillary
Speyeria hesperis,Northwestern Fritillary
Speyeria hesperis schellbachi,Northwestern Fritillary
Speyeria mormonia,Mormon Fritillary
Speyeria mormonia luski,Atronis Fritillary
Speyeria nokomis,Nokomis Fritillary
Speyeria nokomis coerulescens,Blue Silverspot Butterfly
Speyeria nokomis nigrocaerulea,Great Basin Silverspot Butterfly
Speyeria nokomis nitocris,Mountain Silverspot Butterfly
Speyeria nokomis nokomis,Great Basin Silverspot Butterfly
Sphaeralcea,globemallow
Sphaeralcea fendleri,Thicket Globe Mallow
Sphaeralcea fendleri ssp. albescens,Thicket Globe Mallow
Sphaeralcea gierischii,Gierisch Mallow
Sphaeriidae,
Sphinctospermum,
Sphinctospermum constrictum,Hourglass Peaseed
Sphingicampa,
Sphingicampa raspa,A Royal Moth
Sphingidae,sphinx or hawk moths
Sphinx,
Sphinx asellus,Asella Sphinx
Sphinx chersis,Great Ash Sphinx
Sphinx dollii,A Sphinx Moth
Sphinx drupiferarum,Wild Cherry Sphinx
Sphinx libocedrus,Incense Cedar Sphinx
Sphinx perelegans,Elegant Sphinx
Sphinx sequoiae,Sequoia Sphinx
Sphinx smithi,A Sphinx Moth
Sphinx vashti,Snowberry Sphinx
Sphyrapicus,
Sphyrapicus nuchalis,Red-naped Sapsucker
Sphyrapicus ruber,Red-breasted Sapsucker
Sphyrapicus thyroideus,Williamson's Sapsucker
Sphyrapicus varius,Yellow-bellied Sapsucker
Spilogale,
Spilogale gracilis,Western Spotted Skunk
Spinus,
Spinus lawrencei,Lawrence's Goldfinch
Spinus pinus,Pine Siskin
Spinus psaltria,Lesser Goldfinch
Spinus tristis,American Goldfinch
Spiranthes,ladies'-tresses
Spiranthes decipiens,Menzies' Rattlesnake Plantain
Spiranthes delitescens,Canelo Hills Ladies'-tresses
Spiranthes diluvialis,Ute Ladies' Tresses
Spiranthes graminea,Canelo Hills Ladies'-tresses
Spiranthes mechoacana,Michoacan Ladies'-tresses
Spiranthes michuacana,Michoacan Ladies'-tresses
Spiranthes parasitica,Fallen Ladies'-tresses
Spiranthes romanzoffiana,Hooded Ladies'-tresses
Spiranthes romanzoffiana var. diluvialis,Ute Ladies' Tresses
Spiranthes stricta,Hooded Ladies'-tresses
Spiza,
Spiza americana,Dickcissel
Spizella,
Spizella arborea,American Tree Sparrow
Spizella atrogularis,Black-chinned Sparrow
Spizella breweri,Brewer's Sparrow
Spizella pallida,Clay-colored Sparrow
Spizella passerina,Chipping Sparrow
Spizella pusilla,Field Sparrow
Spizelloides,
Spizelloides arborea,American Tree Sparrow
Sporobolus,dropseed
Sporobolus coromandelianus,Whorled Dropseed
Sporobolus interruptus,Black Dropseed
Sporobolus patens,Whorled Dropseed
Sporobolus pulvinatus,Whorled Dropseed
Sporobolus pyramidatus,Whorled Dropseed
Stactobiella,
Stactobiella brustia,A Caddisfly
Staphylus,
Staphylus ceos,Ceos Skipper
Staphylus mazans,Mazans Scallopwing
Steironema hybridum,Lowland Yellow-Loosestrife
Steironema laevigatum,Lowland Yellow-Loosestrife
Steironema lanceolatum var. hybridum,Lowland Yellow-Loosestrife
Stelgidopteryx,
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Stellaria,starwort
Stellaria porsildii,Porsild's Starwort
Stellula calliope,Calliope Hummingbird
Stenocereus,
Stenocereus thurberi,Organ Pipe Cactus
Stenopelmatidae,Jerusalem crickets
Stenopelmatus,
Stenopelmatus navajo,Navajo Jerusalem Cricket
Stenorrhynchos michuacanum,Michoacan Ladies'-tresses
Stephanomeria,wirelettuce
Stephanomeria exigua,Small Wirelettuce
Stephanomeria exigua ssp. exigua,Small Wirelettuce
Stephanomeria exigua ssp. pentachaeta,Small Wirelettuce
Stephanomeria exigua var. pentachaeta,Small Wirelettuce
Stephanomeria pentachaeta,Small Wirelettuce
Stephanomeria schottii,Small Wirelettuce
Stercorariidae,skuas and jaegers
Stercorarius,
Stercorarius longicaudus,Long-tailed Jaeger
Stercorarius parasiticus,Parasitic Jaeger
Stercorarius pomarinus,Pomarine Jaeger
Sterculiaceae,cacao family
Sterna,
Sterna albifrons browni,California Least Tern
Sterna antillarum,Least Tern
Sterna antillarum browni,California Least Tern
Sterna caspia,Caspian Tern
Sterna elegans,Elegant Tern
Sterna forsteri,Forster's Tern
Sterna hirundo,Common Tern
Sterna maxima,Royal Tern
Sterna nilotica,Gull-billed Tern
Sterna paradisaea,Arctic Tern
Sternula,
Sternula antillarum,Least Tern
Sternula antillarum browni,California Least Tern
Stevia,
Stevia lemmonii,Lemmon's Stevia
Stevia plummerae,Plummer's Candyleaf
Stillingia,
Stillingia linearifolia,Linearleaf Sand Spurge
Stillingia spinulosa,Spiny Sand Spurge
Stinga,
Stinga morrisoni,Morrison's Skipper
Stizostedion vitreum,Walleye
Streptanthus,twistflower
Streptanthus carinatus,Lyre-leaved Twistflower
Streptanthus lemmonii,Lemmon Jewelflower
Streptocephalidae,
Streptocephalus,
Streptocephalus coloradensis,Spinytail Fairy Shrimp
Streptocephalus dorothae,New Mexico Fairy Shrimp
Streptocephalus henridumontis,Dumont's Fairy Shrimp
Streptocephalus mackini,Chihuahuan Desert Fairy Shrimp
Streptocephalus texanus,Greater Plains Fairy Shrimp
Streptopelia,
Streptopelia decaocto,Eurasian Collared-Dove
Streptopelia risoria,African Collared-Dove
Streptopelia roseogrisea,African Collared-Dove
Streptopus,
Streptopus amplexifolius,White Mandarin Twisted Stalk
Strigidae,
Strix,
Strix occidentalis,Spotted Owl
Strix occidentalis lucida,Mexican Spotted Owl
Strymon,
Strymon bebrycia,Mexican Gray Hairstreak
Strymon cestri,Tailless Scrub-hairstreak
Strymon istapa,Mallow Scrub-hairstreak
Strymon melinus,Gray Hairstreak
Sturnella,
Sturnella magna,Eastern Meadowlark
Sturnella neglecta,Western Meadowlark
Sturnidae,
Sturnus,
Sturnus vulgaris,European Starling
Stygobromus,
Stygobromus arizonensis,Arizona Cave Amphipod
Stygobromus blinni,Blinn's Amphipod
Stygobromus boultoni,Boulton's Amphipod
Stylurus,
Stylurus intricatus,Brimstone Clubtail
Stylurus plagiatus,Russet-tipped Clubtail
Subulinidae,
Succinea,
Succinea grosvenori,Santa Rita Ambersnail
Succinea luteola,Mexico Ambersnail
Succineidae,
Suidae,
Sula,Boobies
Sula leucogaster,Brown Booby
Sula nebouxii,Blue-footed Booby
Sulidae,Gannets and Boobies
Sus,
Sus scrofa,Feral Pig or Wild Boar
Syarinidae,
Sylvia celata,Orange-crowned Warbler
Sylvia peregrina,Tennessee Warbler
Sylvia ruficapilla,Nashville Warbler
Sylvilagus,
Sylvilagus audubonii,Desert Cottontail
Sylvilagus floridanus,Eastern Cottontail
Sylvilagus idahoensis,Pygmy Rabbit
Sylvilagus nuttallii,Mountain Cottontail
Sylvilagus nuttallii grangeri,North Kaibab Mountain Cottontail
Sylvilagus nuttallii pinetis,A Southwestern Cottontail
Symmerista,
Symmerista zacualpana,A Notodontid Moth
Sympetrum,
Sympetrum corruptum,Variegated Meadowhawk
Sympetrum danae,Black Meadowhawk
Sympetrum occidentale,Band-winged Meadowhawk
Sympetrum pallipes,Striped Meadowhawk
Sympetrum semicinctum,Band-winged Meadowhawk
Sympetrum signiferum,Spot-winged Meadowhawk
Symphyotrichum,aster
Symphyotrichum potosinum,Santa Rita Mountain Aster
Symphyotrichum welshii,Welsh's American-aster
Synapte,
Synapte shiva,Faceted Skipper
Systasea,
Systasea pulverulenta,Texas Powdered-skipper
Systasea zampa,Arizona Powdered Skipper
Tachybaptus,
Tachybaptus dominicus,Least Grebe
Tachycineta,
Tachycineta bicolor,Tree Swallow
Tachycineta thalassina,Violet-green Swallow
Tadarida,
Tadarida brasiliensis,Brazilian Free-tailed Bat
Taenionema,
Taenionema jacobii,Southwest Willowfly
Taenionema pacificum,Pacific Willowfly
Taeniopterygidae,
Tagetes,
Tagetes lemmonii,Lemmon's Marigold
Talinum angustissimum,Yellow Flameflower
Talinum appalachianum,Small-flowered Flameflower
Talinum aurantiacum,Yellow Flameflower
Talinum gooddingii,Small-flowered Flameflower
Talinum humile,Pinos Altos Flameflower
Talinum marginatum,Tepic Flameflower
Talinum parviflorum,Small-flowered Flameflower
Talinum validulum,Tusayan Flameflower
Tamaricaceae,tamarisk family
Tamarix,tamarisk
Tamarix ramosissima,Salt-cedar
Tamias cinereicollis,Gray-collared Chipmunk
Tamias dorsalis,Cliff Chipmunk
Tamias minimus,Least Chipmunk
Tamias quadrivittatus,Hopi Chipmunk
Tamias umbrinus,Uinta Chipmunk
Tamiasciurus,
Tamiasciurus hudsonicus,Red Squirrel
Tamiasciurus hudsonicus grahamensis,Mt Graham Red Squirrel
Tamiasciurus hudsonicus mogollonensis,A Red Squirrel
Tantilla,
Tantilla hobartsmithi,Smith's Black-headed Snake
Tantilla nigriceps,Plains Black-headed Snake
Tantilla wilcoxi,Chihuahuan Black-headed Snake
Tantilla yaquia,Yaqui Black-headed Snake
Taxidea,
Taxidea taxus,American Badger
Tayassuidae,
Teiidae,
Telebasis,
Telebasis salva,Desert Firetail
Tephrosia,hoarypea
Tephrosia thurberi,Thurber Hoary Pea
Terrapene,
Terrapene ornata,Ornate Box Turtle
Terrapene ornata luteola,Desert Box Turtle
Testudinidae,
Tetracha,
Tetracha carolina,Pan-American Big-headed Tiger Beetle
Tetracha carolina carolina,Carolina Metallic Tiger Beetle
Tetracoccus,
Tetracoccus fasciculatus,Chuckwalla Shrubby-spurge
Tetracoccus fasciculatus var. hallii,Hall Shrub Spurge
Tetracoccus hallii,Chuckwalla Shrubby-spurge
Tetradymia,horsebrush
Tetradymia argyraea,Silver Felt Thorn
Tetradymia axillaris,Cotton Thorn
Tetradymia axillaris var. longispina,Longspine Cotton Thorn
Tetradymia stenolepis,Owens Valley Cotton Thorn
Tetraneuris,four-nerve daisy
Tetraneuris verdiensis,Verde Four-nerve Daisy
Tetrigidae,pygmy grasshoppers
Teucrium,germander
Teucrium glandulosum,Desert Germander
Texola,
Texola elada,Elada Checkerspot
Thalasseus,
Thalasseus elegans,Elegant Tern
Thalasseus maximus,Royal Tern
Thalesia uniflora,Naked Broomrape
Thalictrum,meadowrue
Thalictrum dasycarpum,Purple Meadow Rue
Thamnocephalidae,
Thamnocephalus,
Thamnocephalus mexicanus,Mexican Beavertail Fairy Shrimp
Thamnocephalus platyurus,Beavertail Fairy Shrimp
Thamnophis,
Thamnophis cyrtopsis,Black-necked Gartersnake
Thamnophis elegans,Terrestrial Gartersnake
Thamnophis elegans vagrans,Wandering Gartersnake
Thamnophis eques,Mexican Gartersnake
Thamnophis eques megalops,Northern Mexican Gartersnake
Thamnophis marcianus,Checkered Gartersnake
Thamnophis rufipunctatus,Narrow-headed Gartersnake
Thelypodiopsis,
Thelypodiopsis ambigua,Long Valley Tumble-mustard
Thelypodiopsis ambigua var. erecta,Long Valley Tumble-mustard
Thelypodiopsis ambiguum,Long Valley Tumble-mustard
Thelypodiopsis purpusii,Kearney Mustard
Thelypodium,thelypody
Thelypodium laxiflorum,Loose Flowered Thelypody
Thelypteridaceae,marsh-fern family
Thelypteris,maiden fern
Thelypteris puberula,Showy Maiden Fern
Thelypteris puberula var. sonorensis,Aravaipa Woodfern
Theridiidae,
Thessalia cyneas,Cyneas Checkerspot
Thessia,
Thessia jalapus,Jalapus Cloudywing
Thiaridae,
Thomomys,
Thomomys bottae,Botta's Pocket Gopher
Thomomys bottae desertorum,Pocket Gohper
Thomomys bottae mearnsi,Mearns' Southern Pocket Gopher
Thomomys bottae subsimilis,Harquahala Southern Pocket Gopher
Thomomys talpoides,Northern Pocket Gopher
Thomomys umbrinus,Southern Pocket Gopher
Thomomys umbrinus grahamensis,Mearns' Southern Pocket Gopher
Thomomys umbrinus hualpaiensis,Pocket Gohper
Thomomys umbrinus intermedius,Southern Pocket Gopher
Thomomys umbrinus muralis,Pocket Gohper
Thomomys umbrinus quercinus,Southern Pocket Gopher
Thomomys umbrinus suboles,Pocket Gohper
Thorybes,
Thorybes drusius,Drusius Cloudy Wing
Thorybes mexicana,Mexican Cloudywing
Thorybes pylades,Northern Cloudy Wing
Thraulodes,
Thraulodes speciosus,A Mayfly
Threskiornithidae,
Thryomanes,
Thryomanes bewickii,Bewick's Wren
Thryothorus,
Thryothorus ludovicianus,Carolina Wren
Thryothorus sinaloa,Sinaloa Wren
Thymallus,
Thymallus arcticus,Arctic Grayling
Thymelaeaceae,mezereum family
Thymoites,
Thymoites minero,A Cave Obligate Spider
Thymophylla,pricklyleaf
Thymophylla concinna,Sonoran Pricklyleaf
Thysanophora,
Thysanophora hornii,Southwestern Fringed-snail
Thysanophoridae,
Tiaroga cobitis,Loach Minnow
Tilapia,
Tilapia aurea,Blue Tilapia
Tilapia zillii,Redbelly Tilapia
Tiliaceae,linden family
Tillaea angustifolia,Water Pygmyweed
Tillaea angustifolia var. bolanderi,Water Pygmyweed
Tillaea aquatica,Water Pygmyweed
Tillaea ascendens,Water Pygmyweed
Tillaea bolanderi,Water Pygmyweed
Tillaea drummondii var. bolanderi,Water Pygmyweed
Tillaea vaillantii,Water Pygmyweed
Tillaea viridis,Prickly-seed Pygmyweed
Tillaeastrum aquaticum,Water Pygmyweed
Tillaeastrum pringlei,Water Pygmyweed
Tillaeastrum vaillantii,Water Pygmyweed
Tillandsia,airplant
Tillandsia recurvata,Ball Moss
Timochares,
Timochares ruptifasciata,Brown-banded Skipper
Timpanoga,
Timpanoga hecuba,A Mayfly
Tinodes,
Tinodes consuetus,A Caddisfly
Tinodes parvulus,A Caddisfly
Tinodes provo,A Caddisfly
Tithonia,
Tithonia thurberi,Thurber Tithonia
Tityridae,
Tomonotus,
Tomonotus ferruginosus,Oak Leaf Grasshopper
Toumeya papyracanthus,Grama-grass Cactus
Townsendia,townsend daisy
Townsendia jonesii,Jones Townsend-daisy
Townsendia mensana var. jonesii,Jones Townsend-daisy
Townsendia smithii,Blackrock Ground Daisy
Toxostoma,
Toxostoma bendirei,Bendire's Thrasher
Toxostoma crissale,Crissal Thrasher
Toxostoma curvirostre,Curve-billed Thrasher
Toxostoma lecontei,LeConte's Thrasher
Toxostoma rufum,Brown Thrasher
Trachemys,
Trachemys scripta,Pond Slider
Tragia,noseburn
Tragia amblyodonta,Dogtooth Noseburn
Tragia laciniata,Sonoita Noseburn
Tramea,
Tramea insularis,Antillean Saddlebags
Tramea lacerata,Black Saddlebags
Tramea onusta,Red Saddlebags
Trautvetteria,
Trautvetteria caroliniensis,Trautvetteria
Triaenodes,
Triaenodes tardus,A Caddisfly
Tribulus,
Tribulus terrestris,Puncturevine
Tricardia,
Tricardia watsonii,Three Hearts
Trichiotinus,
Trichiotinus assimilis,
Trichodes,
Trichodes oresterus,
Trichodes ornatus,
Trichodes peninsularis,
Trichodes simulator,
Trichostema,bluecurls
Trichostema brachiatum,Flux Weed
Trichostema micranthum,Blue Curls
Tricoryhyphes,
Tricoryhyphes condylus,A Mayfly
Tricorythodes,
Tricorythodes explicatus,A Mayfly
Tricorythodes minutus,A Mayfly
Trifolium,clover
Trifolium kingii,King's Clover
Trifolium kingii ssp. macilentum,King's Clover
Trifolium longipes var. neurophyllum,White Mountains Clover
Trifolium neurophyllum,White Mountains Clover
Trifolium pinetorum,Pinewoods Clover
Trifolium sonorense,
Triglochin,arrowgrass
Triglochin concinna,Slender Arrowgrass
Triglochin concinna var. debilis,Common Bog Arrow-grass
Triglochin maritima,Common Bog Arrow-grass
Trigonophymus notatus,A Short-horned Grasshopper
Trimerotropis,
Trimerotropis arizonensis,A Grasshopper
Trimorphodon,
Trimorphodon biscutatus lambda,Sonoran Lyresnake
Trimorphodon lambda,Sonoran Lyresnake
Tringa,
Tringa flavipes,Lesser Yellowlegs
Tringa incana,Wandering Tattler
Tringa melanoleuca,Greater Yellowlegs
Tringa semipalmata,Willet
Tringa semipalmatus,Willet
Tringa solitaria,Solitary Sandpiper
Trionychidae,Softshell Turtles
Triops,
Triops longicaudatus,Longtail Tadpole Shrimp
Triops newberryi,Desert Tadpole Shrimp
Triopsidae,
Triorchis romanzoffiana,Hooded Ladies'-tresses
Triorchis stricta,Hooded Ladies'-tresses
Tripsacum,gamagrass
Tripsacum lanceolatum,Mexican Gama Grass
Triteleia,
Triteleia lemmonae,Oak Creek Triteleia
Triteleia lemmoniae,Oak Creek Triteleia
Triteleiopsis,
Triteleiopsis palmeri,Blue Sand Lily
Triticum cylindricum,Jointed Goatgrass
Triznaka,
Triznaka pintada,Rough Sallfly
Trochilidae,
Troglodytes,
Troglodytes aedon,House Wren
Troglodytes hiemalis,Winter Wren
Troglodytes hiemalis pacificus,Pacific Wren
Troglodytes pacificus,Pacific Wren
Troglodytidae,Wrens
Trogon,
Trogon elegans,Elegant Trogon
Trogonidae,
Tryngites subruficollis,Buff-breasted Sandpiper
Tryonia,
Tryonia gilae,Gila Tryonia
Tryonia porrecta,Desert Tryonia
Tryonia protea,Desert Tryonia
Tryonia quitobaquitae,Quitobaquito Tryonia
Tuberochernes,
Tuberochernes ubicki,A Cave Obligate Pseudoscorpion
Tumamoca,
Tumamoca macdougalii,Tumamoc Globeberry
Turdidae,
Turdus,
Turdus assimilis,White-throated Thrush
Turdus migratorius,American Robin
Turdus motacilla,Louisiana Waterthrush
Turdus rufopalliatus,Rufous-backed Robin
Typhlina bramina,Brahminy Blind Snake
Typhlopidae,
Tyrannidae,
Tyrannus,
Tyrannus couchii,Couch's Kingbird
Tyrannus crassirostris,Thick-billed Kingbird
Tyrannus forficatus,Scissor-tailed Flycatcher
Tyrannus melancholicus,Tropical Kingbird
Tyrannus tyrannus,Eastern Kingbird
Tyrannus verticalis,Western Kingbird
Tyrannus vociferans,Cassin's Kingbird
Tyto,
Tyto alba,Barn Owl
Tytonidae,
Udora verticillata var. minor,Nuttall's Waterweed
Uenoidae,
Uma,
Uma notata rufopunctata,Yuman Desert Fringe-toed Lizard
Uma rufopunctata,Yuman Desert Fringe-toed Lizard
Uma scoparia,Mohave Fringe-toed Lizard
Uma thurmanae,Mohawk Dunes Fringe-toad Lizard
Unionidae,Unionid Mussels
Urananthus glaucifolius,Catchfly Prairie-gentian
Urbanus,
Urbanus dorantes,Dorantes Skipper
Urbanus procne,Brown Longtail
Urbanus proteus,Long-tailed Skipper
Urocoptidae,
Urocyon,
Urocyon cinereoargenteus,Common Gray Fox
Uropsophus lepidus,Rock Rattlesnake
Uropsophus lepidus klauberi,Banded Rock Rattlesnake
Urosaurus,
Urosaurus graciosus,Long-tailed Brush Lizard
Urosaurus graciosus graciosus,Western Long-tailed Brush Lizard
Urosaurus graciosus shannoni,Arizona Long-tailed Brush Lizard
Urosaurus ornatus,Ornate Tree Lizard
Urosaurus ornatus schottii,Schott's Tree Lizard
Urosaurus ornatus symmetricus,Colorado River Tree Lizard
Urosaurus ornatus wrighti,Northern Tree Lizard
Ursidae,
Ursus,
Ursus americanus,American Black Bear
Ursus arctos,Grizzly or Brown Bear
Ursus arctos horribilis,Grizzly Bear
Urtica cylindrica,Small-spike False Nettle
Urticaceae,nettle family
Uta,
Uta stansburiana,Common Side-blotched Lizard
Uta stansburiana elegans,Western Side-blotched Lizard
Uta stansburiana stejnegeri,Eastern Side-blotched Lizard
Uta stansburiana uniformis,Plateau Side-blotched Lizard
Utricularia,bladderwort
Utricularia macrorhiza,Greater Bladderwort
Utricularia vulgaris ssp. macrohiza,Greater Bladderwort
Vachellia densiflora,Sweet Acacia
Vachellia farnesiana,Sweet Acacia
Valeriana,valerian
Valeriana arizonica,Arizona Valerian
Valerianaceae,valerian family
Vallonia,
Vallonia cyclophorella,Silky Vallonia
Vallonia gracilicosta,Multirib Vallonia
Vallonia perspectiva,Thin-lip Vallonia
Valloniidae,
Valvata,
Valvata humeralis,Glossy Valvata
Valvatidae,
Vanclevea,vanclevea
Vanclevea stylosa,Pillar False Gumweed
Vanessa,
Vanessa annabella,West Coast Lady
Vanessa atalanta,Red Admiral
Vanessa cardui,Painted Lady
Vanessa virginiensis,American Painted Lady
Vauquelinia,
Vauquelinia californica,Limestone Rosewood
Vauquelinia californica ssp. pauciflora,Limestone Arizona Rosewood
Vauquelinia californica ssp. sonorensis,Arizona Sonoran Rosewood
Vauquelinia pauciflora,Limestone Arizona Rosewood
Verbena,
Verbena chiricahensis,Chiricahua Mountain Mock Vervain
Verbena pinetorum,Chihuahua Vervain
Verbenaceae,verbena family
Vermivora,
Vermivora celata,Orange-crowned Warbler
Vermivora chrysoptera,Golden-winged Warbler
Vermivora cyanoptera,Blue-winged Warbler
Vermivora luciae,Lucy's Warbler
Vermivora peregrina,Tennessee Warbler
